state,Percent Change,map_id
Alabama,0.023,AL
Alaska,0.038,AK
Arizona,0.122,AZ
Arkansas,0.034,AR
California,0.062,CA
Colorado,0.132,CO
Connecticut,0,CT
Delaware,0.077,DE
District of Columbia,0.16699999999999998,DC
Florida,0.133,FL
Georgia,0.086,GA
Hawaii,0.044000000000000004,HI
Idaho,0.11900000000000001,ID
Illinois,-0.006999999999999999,IL
Indiana,0.032,IN
Iowa,0.036000000000000004,IA
Kansas,0.02,KS
Kentucky,0.03,KY
Louisiana,0.027999999999999997,LA
Maine,0.008,ME
Maryland,0.047,MD
Massachusetts,0.054000000000000006,MA
Michigan,0.011000000000000001,MI
Minnesota,0.057999999999999996,MN
Mississippi,0.006,MS
Missouri,0.023,MO
Montana,0.07400000000000001,MT
Nebraska,0.055999999999999994,NE
Nevada,0.124,NV
New Hampshire,0.03,NH
New Jersey,0.013000000000000001,NJ
New Mexico,0.018000000000000002,NM
New York,0.008,NY
North Carolina,0.08900000000000001,NC
North Dakota,0.13,ND
Ohio,0.013000000000000001,OH
Oklahoma,0.051,OK
Oregon,0.094,OR
Pennsylvania,0.008,PA
Rhode Island,0.004,RI
South Carolina,0.099,SC
South Dakota,0.084,SD
Tennessee,0.067,TN
Texas,0.141,TX
Utah,0.14400000000000002,UT
Vermont,0.001,VT
Virginia,0.065,VA
Washington,0.121,WA
West Virginia,-0.025,WV
Wisconsin,0.022000000000000002,WI
Wyoming,0.025,WY
